contexto,lacuna,gabarito,classificacao,correcao
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,dá,comprou,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,agente,começaram,pronome pessoal,incorreta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,perde,fabricá,verbo,classe_correta
São Paulo [LACUNA] muito,é,cresceu,verbo,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",quando,dizem,advérbio de tempo,incorreta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",sempre,é,advérbio de tempo,incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",assim,cresceu,advérbio de modo,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,era,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",tem,causou,verbo,aceitavel
"Mesmo assim, eu [LACUNA] dela",tambem,gosto,advérbio de inclusão,incorreta
Aqui [LACUNA] minhas lembranças,é,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalho,trabalhava,verbo,aceitavel
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",tem,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",tem,juntou,verbo,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",vai,mudamos,verbo,classe_correta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,tem,viajar,verbo,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,faz,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",é,era,verbo,aceitavel
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",é,era,verbo,aceitavel
Nós [LACUNA] na rua de tardezinha,paramos,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,liga,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],acendemo,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,acontece,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],acabava,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,desligam,substituíram,verbo,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,também,chegou,advérbio de inclusão,incorreta
O rádio chegou e a família toda [LACUNA] notícias e novelas,sem,ouvia,preposição,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,e,foi,verbo,aceitavel
Todo mundo [LACUNA],ama,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,eram,foram,verbo,aceitavel
Os ônibus também [LACUNA],e,chegaram,conjunção,incorreta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,eram,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,era,mudou,verbo,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",eram,chegavam,verbo,classe_correta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,era,era,verbo,exata
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,é,comprou,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,todos,começaram,pronome indefinido,incorreta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,ericam,fabricá,verbo,classe_correta
São Paulo [LACUNA] muito,era,cresceu,verbo,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",eram,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,é,verbo,exata
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",eletronicos,cresceu,nome substantivo,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",era,era,verbo,exata
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",diminui,causou,verbo,classe_correta
"Mesmo assim, eu [LACUNA] dela",era,gosto,verbo,classe_correta
Aqui [LACUNA] minhas lembranças,ficava,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",ganhava,ganhava,verbo,exata
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",tinha,juntou,verbo,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",trabalhava,mudamos,verbo,classe_correta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,era,viajar,verbo,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,balansavão,soltava,verbo,classe_correta
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,brincavão,brincávamos,verbo,aceitavel
O acendedor de lampiões [LACUNA] quando escurecia,passavão,passava,verbo,aceitavel
O acendedor de lampiões passava quando [LACUNA],entardecia,escurecia,verbo,aceitavel
Muita coisa [LACUNA] quando a eletricidade chegou,acontecia,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],faltava,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,-,substituíram,-,incorreta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,passa,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,via,ouvia,verbo,classe_correta
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel
Todo mundo [LACUNA],queria,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,era,foram,verbo,aceitavel
Os ônibus também [LACUNA],era,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,-,desapareceram,-,incorreta
A cidade [LACUNA] e a nossa vida também,-,mudou,-,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",-,chegavam,-,incorreta
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,-,era,-,incorreta
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,usavam,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,-,começaram,-,incorreta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,-,fabricá,-,incorreta
São Paulo [LACUNA] muito,-,cresceu,-,incorreta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,dizem,-,incorreta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,é,-,incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,cresceu,-,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,era,-,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",-,causou,-,incorreta
"Mesmo assim, eu [LACUNA] dela",-,gosto,-,incorreta
Aqui [LACUNA] minhas lembranças,-,estão,-,incorreta
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,fanzendeiro,trabalhava,adjetivo,incorreta
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",era,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",tinha,juntou,verbo,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",pasava,mudamos,verbo,classe_correta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,eu,viajar,pronome pessoal,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,fumasava,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",é,era,verbo,aceitavel
Nós [LACUNA] na rua de tardezinha,andavamos,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,acendia,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],fumasava,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,aconteceu,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],acabou,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,apagaram,substituíram,verbo,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,desligou,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,não,ouvia,advérbio de negação,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel
Todo mundo [LACUNA],queria,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,uma,foram,artigo,incorreta
Os ônibus também [LACUNA],foi,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,entrava,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,linda,mudou,adjetivo,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",acontecia,chegavam,verbo,aceitavel
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,era,era,verbo,exata
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,compraria,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,consiguisi,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,economia,fabricá,nome substantivo,incorreta
São Paulo [LACUNA] muito,é,cresceu,verbo,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",querem,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",-,é,-,incorreta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",amor,cresceu,nome substantivo,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,era,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",era,causou,verbo,classe_correta
"Mesmo assim, eu [LACUNA] dela",não,gosto,advérbio de negação,incorreta
Aqui [LACUNA] minhas lembranças,é,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,dava,trabalhava,verbo,classe_correta
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",ganhava,ganhava,verbo,exata
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",tinha,juntou,verbo,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",foi,mudamos,verbo,aceitavel
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,centiu,viajar,verbo,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,fazia,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,andava,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,corria,passava,verbo,classe_correta
O acendedor de lampiões passava quando [LACUNA],ta,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,acontecia,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],faltava,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,ascendia,substituíram,verbo,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,ligava,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,escutavam,ouvia,verbo,aceitavel
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel
Todo mundo [LACUNA],chorava,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,dava,foram,verbo,classe_correta
Os ônibus também [LACUNA],andavam,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,andavam,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,era,mudou,verbo,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",surgiam,chegavam,verbo,aceitavel
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,era,era,verbo,exata
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tinha,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,ganhavam,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,-,fabricá,-,incorreta
São Paulo [LACUNA] muito,crescia,cresceu,verbo,aceitavel
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",viam,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",era,é,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",crescia,cresceu,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",era,era,verbo,exata
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",criava,causou,verbo,aceitavel
"Mesmo assim, eu [LACUNA] dela",gosta,gosto,verbo,aceitavel
Aqui [LACUNA] minhas lembranças,era,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,trabalhava,trabalhava,verbo,exata
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",ganhava,ganhava,verbo,exata
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",juntou,juntou,verbo,exata
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",viajou,mudamos,verbo,classe_correta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,que,viajar,pronome relativo,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,tem,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",é,era,verbo,aceitavel
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",é,era,verbo,aceitavel
Nós [LACUNA] na rua de tardezinha,vamos,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,passava,passava,verbo,exata
O acendedor de lampiões passava quando [LACUNA],acontecia,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,aconteciam,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],acabava,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,acendiam,substituíram,verbo,classe_correta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,ligava,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,escutava,ouvia,verbo,aceitavel
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel
Todo mundo [LACUNA],gostava,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,era,foram,verbo,aceitavel
Os ônibus também [LACUNA],usavam,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,sumiam,desapareceram,verbo,aceitavel
A cidade [LACUNA] e a nossa vida também,almentava,mudou,verbo,classe_correta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",aconteciam,chegavam,verbo,aceitavel
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,era,era,verbo,exata
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,usava,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,outras,começaram,pronome indefinido,incorreta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,-,fabricá,-,incorreta
São Paulo [LACUNA] muito,-,cresceu,-,incorreta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",queriam,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",almentasse,é,verbo,classe_correta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",pois,cresceu,conjunção conclusiva,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",seria,era,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",causaria,causou,verbo,aceitavel
"Mesmo assim, eu [LACUNA] dela",gostava,gosto,verbo,aceitavel
Aqui [LACUNA] minhas lembranças,é,estão,verbo,aceitavel
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,dono,trabalhava,nome substantivo,incorreta
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",ganha,ganhava,verbo,aceitavel
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",o,mudamos,artigo,incorreta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,ele,viajar,pronome pessoal,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,soutava,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,brincavamos,brincávamos,verbo,aceitavel
O acendedor de lampiões [LACUNA] quando escurecia,a,passava,artigo,incorreta
O acendedor de lampiões passava quando [LACUNA],brincavamos,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,acontecia,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],acabava,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,e,substituíram,conjunção aditiva,incorreta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,falava,chegou,verbo,classe_correta
O rádio chegou e a família toda [LACUNA] notícias e novelas,ouvindo,ouvia,verbo,aceitavel
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel
Todo mundo [LACUNA],gostava,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,são,foram,verbo,aceitavel
Os ônibus também [LACUNA],irão,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,andando,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,linda,mudou,adjetivo,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",acontecia,chegavam,verbo,aceitavel
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,era,era,verbo,exata
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,tinha,comprou,verbo,aceitavel
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,pagase,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,para,fabricá,preposição,incorreta
São Paulo [LACUNA] muito,era,cresceu,verbo,classe_correta
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",tinha,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",amar,é,verbo,classe_correta
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",agora,cresceu,advérbio de tempo,incorreta
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,era,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",de,causou,preposição,incorreta
"Mesmo assim, eu [LACUNA] dela",gosto,gosto,verbo,exata
Aqui [LACUNA] minhas lembranças,em,estão,preposição,incorreta
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,fazia,trabalhava,verbo,classe_correta
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",ganhava,ganhava,verbo,exata
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",tinha,juntou,verbo,classe_correta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",foi,mudamos,verbo,aceitavel
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,foi,viajar,verbo,classe_correta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,tinha,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
"A nossa casa era pequena, mas o quintal [LACUNA] enorme",era,era,verbo,exata
Nós [LACUNA] na rua de tardezinha,íamos,brincávamos,verbo,classe_correta
O acendedor de lampiões [LACUNA] quando escurecia,aparecia,passava,verbo,aceitavel
O acendedor de lampiões passava quando [LACUNA],chovia,escurecia,verbo,classe_correta
Muita coisa [LACUNA] quando a eletricidade chegou,aconteceu,mudou,verbo,aceitavel
Muita coisa mudou quando a eletricidade [LACUNA],caiu,chegou,verbo,classe_correta
As lâmpadas elétricas [LACUNA] os lampiões a gás,e,substituíram,conjunção aditiva,incorreta
O rádio [LACUNA] e a família toda ouvia notícias e novelas,transmissor,chegou,nome substantivo,incorreta
O rádio chegou e a família toda [LACUNA] notícias e novelas,as,ouvia,artigo,incorreta
A inauguração dos bondes elétricos [LACUNA] uma emoção,era,foi,verbo,aceitavel
Todo mundo [LACUNA],foi,viu,verbo,classe_correta
Os primeiros automóveis [LACUNA] uma sensação,era,foram,verbo,aceitavel
Os ônibus também [LACUNA],eram,chegaram,verbo,classe_correta
Os cavalos e burros [LACUNA] aos poucos do meio urbano,foram,desapareceram,verbo,classe_correta
A cidade [LACUNA] e a nossa vida também,legal,mudou,adjetivo,incorreta
"Mais novidades [LACUNA] a cada dia: panelas de alumínio, geladeira, liquidificador, aspirador de pó, fogão a gás, objetos de plástico, roupas de náilon e a televisão",chegando,chegavam,verbo,aceitavel
Mas quem [LACUNA] pobre só comprou essas coisas depois que começaram a fabricá-las no Brasil,é,era,verbo,aceitavel
Mas quem era pobre só [LACUNA] essas coisas depois que começaram a fabricá-las no Brasil,pessa,comprou,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que [LACUNA] a fabricá-las no Brasil,passa,começaram,verbo,classe_correta
Mas quem era pobre só comprou essas coisas depois que começaram a [LACUNA]-las no Brasil,compra,fabricá,verbo,classe_correta
São Paulo [LACUNA] muito,cressia,cresceu,verbo,aceitavel
"As pessoas [LACUNA] que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",viram,dizem,verbo,classe_correta
"As pessoas dizem que [LACUNA] a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",é,é,verbo,exata
"As pessoas dizem que é a cidade que mais depressa [LACUNA] no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",crescia,cresceu,verbo,aceitavel
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso [LACUNA] motivo de orgulho para os paulistas, mas esse crescimento causou muitos problemas",era,era,verbo,exata
"As pessoas dizem que é a cidade que mais depressa cresceu no mundo, isso era motivo de orgulho para os paulistas, mas esse crescimento [LACUNA] muitos problemas",gera,causou,verbo,aceitavel
"Mesmo assim, eu [LACUNA] dela",gostei,gosto,verbo,aceitavel
Aqui [LACUNA] minhas lembranças,estão,estão,verbo,exata
Meu pai era lavrador e [LACUNA] duro nas fazendas de café,muito,trabalhava,advérbio de intensidade,incorreta
"Ele [LACUNA] pouco, mas juntou dinheiro e mudamos para a cidade de São Paulo",faz,ganhava,verbo,classe_correta
"Ele ganhava pouco, mas [LACUNA] dinheiro e mudamos para a cidade de São Paulo",o,juntou,artigo,incorreta
"Ele ganhava pouco, mas juntou dinheiro e [LACUNA] para a cidade de São Paulo",-,mudamos,-,incorreta
Que emoção [LACUNA] naquele trem que soltava fagulhas pela chaminé,-,viajar,-,incorreta
Que emoção viajar naquele trem que [LACUNA] fagulhas pela chaminé,tinha,soltava,verbo,aceitavel
"A nossa casa [LACUNA] pequena, mas o quintal era enorme",era,era,verbo,exata
