contexto,lacuna,gabarito,classificacao,correcao,pontuacao_nlpcloze,correcao_nlpcloze
Só [LACUNA] de casa à noite,em,saíam,preposição,incorreta,0.0,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fez,fazia,verbo,aceitavel,1.0,aceitavel
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,comprou,comprava,verbo,aceitavel,1.0,aceitavel
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,abriu,depositava,verbo,classe_correta,0.5,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata,1.0,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,trabalhava,verbo,classe_correta,1.0,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tinha,juntaram,verbo,aceitavel,0.5,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",viajar,viajar,verbo,exata,1.0,exata
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",contar,contar,verbo,exata,1.0,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata,1.0,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",tinham,criaram,verbo,classe_correta,1.0,aceitavel
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",iam,telefonavam,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",pedir,contarem,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",tirasssem,viajaram,verbo,classe_correta,0.0,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",mandasse,enviavam,verbo,aceitavel,1.0,aceitavel
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",eram,convidavam,verbo,classe_correta,0.5,classe_correta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",mandar,verem,verbo,classe_correta,0.5,classe_correta
E [LACUNA] muitas histórias interessantes,tinham,contavam,verbo,classe_correta,1.0,aceitavel
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",tinha,contava,verbo,classe_correta,0.5,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",tímido,confirmava,adjetivo,incorreta,0.0,incorreta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",muito,suspirava,advérbio de intensidade,incorreta,0.0,incorreta
Só depois [LACUNA],-,descobriram,-,incorreta,0.0,branco
Não [LACUNA] coisa alguma,tinha,viajavam,verbo,classe_correta,0.5,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,são,ficavam,verbo,classe_correta,0.5,classe_correta
Ela [LACUNA] os folhetos das companhias de turismo,tirava,estudava,verbo,classe_correta,1.0,aceitavel
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,colocava,editava,verbo,classe_correta,1.0,aceitavel
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,-,ficava,-,incorreta,0.0,branco
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",e,Escrevia,conjunção aditiva,incorreta,0.0,incorreta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",tinha,colava,verbo,classe_correta,1.0,aceitavel
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,contava,decorava,verbo,classe_correta,1.0,aceitavel
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,-,confirmá,-,incorreta,0.0,branco
Só [LACUNA] de casa à noite,-,saíam,-,incorreta,0.0,branco
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,era,fazia,verbo,classe_correta,0.5,classe_correta
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,tinha,comprava,verbo,classe_correta,1.0,aceitavel
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,pegou,depositava,verbo,classe_correta,0.5,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata,1.0,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",trabalhava,trabalhava,verbo,exata,1.0,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tiveram,juntaram,verbo,aceitavel,0.5,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",sustentava,viajar,verbo,classe_correta,0.5,classe_correta
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",falar,contar,verbo,aceitavel,1.0,aceitavel
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",irá,era,verbo,classe_correta,0.5,classe_correta
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",fizeram,criaram,verbo,aceitavel,1.0,aceitavel
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",ian,telefonavam,verbo,classe_correta,0.0,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",-,contarem,-,incorreta,0.0,branco
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",-,viajaram,-,incorreta,0.0,branco
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",-,enviavam,-,incorreta,0.0,branco
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",aqueles,convidavam,pronome demonstrativo,incorreta,0.0,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",mandar,verem,verbo,classe_correta,0.5,classe_correta
E [LACUNA] muitas histórias interessantes,falar,contavam,verbo,aceitavel,0.5,classe_correta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",sabia,contava,verbo,classe_correta,1.0,aceitavel
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",isso,confirmava,pronome relativo,incorreta,0.0,incorreta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",esta,suspirava,verbo,classe_correta,0.0,incorreta
Só depois [LACUNA],disso,descobriram,contração,incorreta,0.0,incorreta
Não [LACUNA] coisa alguma,tem,viajavam,verbo,classe_correta,0.5,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,estão,ficavam,verbo,aceitavel,0.5,classe_correta
Ela [LACUNA] os folhetos das companhias de turismo,recebeu,estudava,verbo,classe_correta,0.5,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,tira,editava,verbo,classe_correta,0.5,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,é,ficava,verbo,aceitavel,0.5,classe_correta
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",-,Escrevia,-,incorreta,0.0,branco
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",e,colava,conjunção aditiva,incorreta,0.0,incorreta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,falar,decorava,verbo,classe_correta,0.5,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,convese,confirmá,verbo,classe_correta,0.5,classe_correta
Só [LACUNA] de casa à noite,que,saíam,conjunção integrativa,incorreta,0.0,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,é,fazia,verbo,classe_correta,0.5,classe_correta
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,compra,comprava,verbo,aceitavel,1.0,grafia_incorreta
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,manda,depositava,verbo,classe_correta,0.5,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata,1.0,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,trabalhava,verbo,classe_correta,1.0,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tinha,juntaram,verbo,aceitavel,0.5,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",viajar,viajar,verbo,exata,1.0,exata
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",contar,contar,verbo,exata,1.0,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",são,era,verbo,aceitavel,0.5,classe_correta
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",montaram,criaram,verbo,aceitavel,1.0,aceitavel
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",contam,telefonavam,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",gabar,contarem,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",viajaram,viajaram,verbo,exata,1.0,exata
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",receberam,enviavam,verbo,classe_correta,0.5,classe_correta
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",chamam,convidavam,verbo,aceitavel,1.0,aceitavel
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",ver,verem,verbo,aceitavel,1.0,aceitavel
E [LACUNA] muitas histórias interessantes,contar,contavam,verbo,aceitavel,0.5,classe_correta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",gostava,contava,verbo,classe_correta,1.0,grafia_incorreta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",-,confirmava,-,incorreta,0.0,branco
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",muito,suspirava,advérbio de intensidade,incorreta,0.0,incorreta
Só depois [LACUNA],-,descobriram,-,incorreta,0.0,branco
Não [LACUNA] coisa alguma,-,viajavam,-,incorreta,0.0,branco
Eles [LACUNA] trancados em casa durante todo o mês de férias,vivem,ficavam,verbo,classe_correta,1.0,aceitavel
Ela [LACUNA] os folhetos das companhias de turismo,-,estudava,-,incorreta,0.0,branco
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,-,editava,-,incorreta,0.0,branco
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,-,ficava,-,incorreta,0.0,branco
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",-,Escrevia,-,incorreta,0.0,branco
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",-,colava,-,incorreta,0.0,branco
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,contava,decorava,verbo,classe_correta,1.0,aceitavel
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,-,confirmá,-,incorreta,0.0,branco
Só [LACUNA] de casa à noite,chegava,saíam,verbo,classe_correta,1.0,aceitavel
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fazia,fazia,verbo,exata,1.0,exata
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,comprava,comprava,verbo,exata,1.0,exata
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,colocava,depositava,verbo,aceitavel,1.0,aceitavel
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata,1.0,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,trabalhava,verbo,classe_correta,1.0,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tiverão,juntaram,verbo,aceitavel,0.5,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",lazer,viajar,nome substantivo,incorreta,0.0,incorreta
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",contar,contar,verbo,exata,1.0,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata,1.0,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",fizeram,criaram,verbo,aceitavel,1.0,aceitavel
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",contar,telefonavam,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",lugares,contarem,nome substantivo,incorreta,0.0,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",foram,viajaram,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",mandar,enviavam,verbo,aceitavel,1.0,aceitavel
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",eles,convidavam,pronome pessoal,incorreta,0.0,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",ver,verem,verbo,aceitavel,1.0,aceitavel
E [LACUNA] muitas histórias interessantes,contar,contavam,verbo,aceitavel,0.5,classe_correta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",sabia,contava,verbo,classe_correta,1.0,aceitavel
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",gostava,confirmava,verbo,classe_correta,0.5,classe_correta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",estava,suspirava,verbo,classe_correta,0.5,classe_correta
Só depois [LACUNA],disso,descobriram,contração,incorreta,0.0,incorreta
Não [LACUNA] coisa alguma,havia,viajavam,verbo,classe_correta,0.5,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,sempre,ficavam,advérbio de tempo,incorreta,0.0,incorreta
Ela [LACUNA] os folhetos das companhias de turismo,lia,estudava,verbo,aceitavel,1.0,aceitavel
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,gostava,editava,verbo,classe_correta,0.5,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,era,ficava,verbo,aceitavel,0.5,classe_correta
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",dos,Escrevia,contração,incorreta,0.0,incorreta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",e,colava,conjunção aditiva,incorreta,0.0,incorreta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,reflete,decorava,verbo,classe_correta,0.5,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,conprova,confirmá,verbo,aceitavel,0.5,classe_correta
Só [LACUNA] de casa à noite,descançava,saíam,verbo,classe_correta,1.0,aceitavel
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fez,fazia,verbo,aceitavel,1.0,aceitavel
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,comprava,comprava,verbo,exata,1.0,exata
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,lia,depositava,verbo,classe_correta,0.5,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata,1.0,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",trabalhava,trabalhava,verbo,exata,1.0,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tinham,juntaram,verbo,aceitavel,0.5,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",viajar,viajar,verbo,exata,1.0,exata
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",falar,contar,verbo,aceitavel,1.0,aceitavel
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",são,era,verbo,aceitavel,0.5,classe_correta
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",fizeram,criaram,verbo,aceitavel,1.0,aceitavel
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",pedem,telefonavam,verbo,classe_correta,1.0,aceitavel
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",fotos,contarem,nome substantivo,incorreta,0.0,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",tirem,viajaram,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",enviaram,enviavam,verbo,aceitavel,1.0,grafia_incorreta
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",todos,convidavam,pronome indefinido,incorreta,0.0,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",tiram,verem,verbo,classe_correta,1.0,aceitavel
E [LACUNA] muitas histórias interessantes,contar,contavam,verbo,aceitavel,0.5,classe_correta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",tem,contava,verbo,classe_correta,0.5,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",amigo,confirmava,nome substantivo,incorreta,0.0,incorreta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",ele,suspirava,pronome pessoal,incorreta,0.0,incorreta
Só depois [LACUNA],ficou,descobriram,verbo,classe_correta,0.5,classe_correta
Não [LACUNA] coisa alguma,faziam,viajavam,verbo,classe_correta,1.0,aceitavel
Eles [LACUNA] trancados em casa durante todo o mês de férias,ficavam,ficavam,verbo,exata,1.0,exata
Ela [LACUNA] os folhetos das companhias de turismo,observa,estudava,verbo,aceitavel,0.5,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,tira,editava,verbo,classe_correta,0.5,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,É,ficava,verbo,aceitavel,0.5,classe_correta
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",com,Escrevia,preposição,incorreta,0.0,incorreta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",importam,colava,verbo,classe_correta,0.5,classe_correta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,conta,decorava,verbo,classe_correta,0.5,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,conhece,confirmá,verbo,classe_correta,0.5,classe_correta
Só [LACUNA] de casa à noite,em,saíam,preposição,incorreta,0.0,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fez,fazia,verbo,aceitavel,1.0,aceitavel
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,comprou,comprava,verbo,aceitavel,1.0,aceitavel
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,colocou,depositava,verbo,aceitavel,0.5,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",é,era,verbo,aceitavel,1.0,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,trabalhava,verbo,classe_correta,1.0,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tinha,juntaram,verbo,aceitavel,0.5,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",viajar,viajar,verbo,exata,1.0,exata
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",ir,contar,verbo,classe_correta,0.5,classe_correta
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",é,era,verbo,aceitavel,1.0,aceitavel
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",é,criaram,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",era,telefonavam,verbo,classe_correta,0.5,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",eles,contarem,pronome pessoal,incorreta,0.0,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",eles,viajaram,pronome pessoal,incorreta,0.0,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",mandarão,enviavam,verbo,aceitavel,1.0,aceitavel
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",eles,convidavam,pronome pessoal,incorreta,0.0,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",uma,verem,artigo indefinido,incorreta,0.0,incorreta
E [LACUNA] muitas histórias interessantes,depois,contavam,advérbio de tempo,incorreta,0.0,incorreta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",queria,contava,verbo,classe_correta,0.5,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",é,confirmava,verbo,classe_correta,0.5,classe_correta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",com,suspirava,preposição,incorreta,0.0,incorreta
Só depois [LACUNA],eles,descobriram,pronome pessoal,incorreta,0.0,incorreta
Não [LACUNA] coisa alguma,queria,viajavam,verbo,classe_correta,0.5,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,também,ficavam,advérbio de inclusão,incorreta,0.0,incorreta
Ela [LACUNA] os folhetos das companhias de turismo,queria,estudava,verbo,classe_correta,0.5,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,queria,editava,verbo,classe_correta,0.5,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,é,ficava,verbo,aceitavel,0.5,classe_correta
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",é,Escrevia,verbo,classe_correta,0.5,classe_correta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",tinha,colava,verbo,classe_correta,1.0,aceitavel
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,leu,decorava,verbo,classe_correta,0.5,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,todos,confirmá,pronome indefinido,incorreta,0.0,incorreta
Só [LACUNA] de casa à noite,depois,saíam,advérbio de tempo,incorreta,0.0,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,queria,fazia,verbo,classe_correta,0.5,classe_correta
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,queria,comprava,verbo,classe_correta,0.5,classe_correta
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,os,depositava,artigo definido,incorreta,0.0,incorreta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",tinha,era,verbo,classe_correta,1.0,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",é,trabalhava,verbo,classe_correta,0.5,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tinham,juntaram,verbo,aceitavel,0.5,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",viajar,viajar,verbo,exata,1.0,exata
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",dizer,contar,verbo,aceitavel,1.0,aceitavel
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata,1.0,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",fizeram,criaram,verbo,aceitavel,1.0,aceitavel
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",disseram,telefonavam,verbo,classe_correta,0.5,classe_correta
